,Polling,Con,Lab,LD,Green,BXP/Reform,date_published,
4,YouGov,49,30,8,5,2,05/01/2020,
5,Ipsos,47,30,11,5,1,06/01/2020,
0,BMG,44,29,11,5,4,13/01/2020,
1,Opinium,47,30,9,4,3,18/01/2020,
2,YouGov,49,29,10,4,2,28/01/2020,
3,Survation,44,33,10,3,3,31/01/2020,
6,BMG,41,29,11,8,3,08/02/2020,
7,YouGov,48,28,10,6,2,14/02/2020,
8,Opinium,47,32,7,4,2,15/02/2020,
9,Savanta ComRes,47,31,9,4,3,23/02/2020,
10,BMG,45,28,11,,,08/03/2020,
11,Kantar,50,29,11,2,1,11/03/2020,
12,Opinium,49,32,6,5,0,15/03/2020,
13,Ipsos,52,30,9,4,0,19/03/2020,
14,NCP,54,28,7,4,2,28/03/2020,
15,Opinium,54,28,6,3,0,29/03/2020,
26,Survation,48,31,8,5,1,01/04/2020,
16,YouGov,52,28,8,5,1,03/04/2020,
27,Opinium,51,33,6,3,0,03/04/2020,
17,Opinium,53,30,7,3,0,05/04/2020,
18,BMG,46,29,10,6,2,11/04/2020,
19,Opinium,55,29,5,4,0,12/04/2020,
20,Opinium,51,32,6,3,0,19/04/2020,
23,R+W,52,31,8,3,,19/04/2020,
21,YouGov,53,32,5,3,1,20/04/2020,
22,Kantar,54,28,9,4,1,22/04/2020,
24,Opinium,50,33,7,3,0,26/04/2020,
25,R+W,50,33,7,4,,28/04/2020,
42,YouGov,45,35,6,5,2,01/05/2020,
30,R+W,50,31,7,5,,06/05/2020,
28,YouGov,50,30,7,5,3,07/05/2020,
29,Opinium,49,33,6,5,0,10/05/2020,
31,Kantar,51,32,7,2,2,14/05/2020,
32,Opinium,49,34,6,3,0,17/05/2020,
33,R+W,47,35,9,3,,18/05/2020,
34,Savanta ComRes,46,33,7,4,2,21/05/2020,
35,Opinium,47,35,6,3,0,24/05/2020,
36,Survation,46,33,8,4,0,26/05/2020,
37,YouGov,44,38,6,4,2,27/05/2020,
39,R+W,43,37,9,3,,27/05/2020,
38,YouGov,43,38,6,4,3,29/05/2020,
40,Deltapoll,43,38,8,4,2,31/05/2020,
41,Opinium,43,39,6,3,0,31/05/2020,
43,R+W,43,36,9,5,,04/06/2020,
44,Survation,41,39,7,4,1,07/06/2020,
45,Deltapoll,41,38,8,4,3,07/06/2020,
46,Opinium,43,40,6,3,0,07/06/2020,
48,Survation,42,36,8,4,1,11/06/2020,
47,Ipsos,43,38,10,3,0,12/06/2020,
49,R+W,41,39,9,4,,13/06/2020,
50,YouGov,45,37,6,4,2,13/06/2020,
51,Opinium,44,39,6,2,,14/06/2020,
52,Kantar,43,35,8,4,2,17/06/2020,
53,Savanta ComRes,40,36,9,3,3,18/06/2020,
54,R+W,43,38,8,4,,19/06/2020,
55,Opinium,44,40,5,3,,20/06/2020,
56,Survation,43,36,8,4,0,26/06/2020,
57,R+W,44,38,7,4,,26/06/2020,
58,Opinium,43,39,6,4,,27/06/2020,
74,Opinium,41,38,6,4,0,01/07/2020,
59,R+W,42,38,8,5,,02/07/2020,
77,Survation,44,35,8,5,0,04/07/2020,
60,Opinium,41,37,8,4,0,05/07/2020,
75,YouGov,43,35,6,5,3,05/07/2020,
