,id,Constituency,Country/Region,Con Vote,Labour Vote,Liberal Vote,SNP/ PC Vote,Other Vote,Total votes
0,1,ABERAVON,Wales,0.20529354100860472,0.7211197037359764,,0.04613876484043133,0.027447990414987473,45905
1,2,ABERDARE,Wales,0.15368661756494456,0.7739105001462416,,0.07240288228881385,,37609
2,3,ABERDEEN NORTH,Scotland,0.310885089807401,0.689114910192599,,,,46210
3,4,ABERDEEN SOUTH,Scotland,0.5170280497327167,0.43898532444391053,,0.043986625823372774,,49947
4,7,ABERTILLERY,Wales,0.1410015260673599,0.8589984739326401,,,,28177
5,8,ABINGDON,South East,0.4797549759287203,0.36527268807932745,0.1549723359919523,,,55668
6,9,ACCRINGTON,North West,0.3660647375927672,0.49703870234728165,0.13689656005995116,,,41367
7,10,ACTON,London,0.41813068939525716,0.4934771264567751,0.08839218414796776,,,34494
8,11,ALDERSHOT,South East,0.5203001149633932,0.2766785663863173,0.2030213186502894,,,49581
9,12,ALTRINCHAM AND SALE,North West,0.4682135092585651,0.2800997076242597,0.2516867831171752,,,53356
10,13,ANGLESEY,Wales,0.24953762981931996,0.4820386968274292,0.2037985488689714,0.06462512448427941,,28116
11,16,ANTRIM NORTH,Northern Ireland,0.901241182248415,,,,0.09875881775158496,44796
12,17,ANTRIM SOUTH,Northern Ireland,0.6991844694619271,0.2442307124072925,,,0.05658481813078037,67686
13,18,ARGYLL,Scotland,0.472423854255622,0.2889268431539994,0.2386493025903786,,,28104
14,19,ARMAGH,Northern Ireland,0.650134741038798,0.12039942412049172,,,0.22946583484071026,54178
15,20,ARUNDEL AND SHOREHAM,South East,0.575095737725334,0.24322052367757402,0.18168373859709205,,,64238
16,21,ASHFIELD,East Midlands,0.27156596278486306,0.728434037215137,,,,47830
17,22,ASHFORD,South East,0.49419451887368965,0.28178912236167913,0.22401635876463122,,,42546
18,23,ASHTON UNDER LYNE,North West,0.45457561882009423,0.5454243811799058,,,,45207
19,24,AYLESBURY,South East,0.47123893805309736,0.3252804993678888,0.2034805625790139,,,50624
20,25,AYR,Scotland,0.5221524757117183,0.4778475242882817,,,,38393
21,29,BANBURY,South East,0.4717855598789451,0.3832079550367488,0.13577172503242543,,0.009234760051880675,57825
22,30,BANFF,Scotland,0.4777039621469197,0.26640539119629114,0.2558906466567892,,,20923
23,31,BARKING,London,0.22534905199109034,0.6262563155321346,0.14839463247677515,,,36814
24,32,BARKSTON ASH,Yorkshire and the Humber,0.5881720430107527,0.4118279569892473,,,,47430
25,33,BARNET,London,0.4778719661670316,0.3185688354946762,0.19034787327607178,,0.013211325062220476,53439
26,34,BARNSLEY,Yorkshire and the Humber,0.1688966209914628,0.668089532965062,0.16301384604347513,,,55756
27,35,BARONS COURT,London,0.44064667877452585,0.47536249144014053,0.0839908297853336,,,33587
28,36,BARROW IN FURNESS,North West,0.44872718241649073,0.5512728175835092,,,,40265
29,37,BARRY,Wales,0.5402954622737749,0.4597045377262251,,,,52934
30,38,BASINGSTOKE,South East,0.49317978533094814,0.34455128205128205,0.16226893261776984,,,53664
31,39,BASSETLAW,East Midlands,0.4097351375617264,0.5902648624382736,,,,46779
32,40,BATH,South West,0.44194012916739395,0.35922499563623667,0.1918964915342992,,0.00693838366207017,45832
