,id,Constituency,Country/Region,Country,Con Vote,Liberal Vote,Labour Vote,Brexit Vote,Green Vote,SNP Vote,PC Vote,DUP Vote,Sinn Fein Vote,SDLP Vote,UUP Vote,Alliance Vote,Other Vote,Total votes
0,W07000049,ABERAVON,Wales,Wales,0.20627887841002596,0.5382619153110957,0.03392619786062409,0.09836065573770492,0.014241407684030635,,0.08579656940312679,,,,,,0.023134375593391987,31598
1,W07000058,ABERCONWY,Wales,Wales,0.46091322767927195,0.397081437313667,0.0571473403420681,,,,0.08485799466499294,,,,,,,31865
2,S14000001,ABERDEEN NORTH,Scotland,Scotland,0.20140058268516292,0.13201293667976371,0.07606981530484057,0.026942506615347608,0.023521235934033626,0.5400529227808516,,,,,,,,37413
3,S14000002,ABERDEEN SOUTH,Scotland,Scotland,0.3593058416232087,0.08400893991848898,0.10995223278846575,,,0.44673298566983655,,,,,,,,45638
4,S14000003,AIRDRIE AND SHOTTS,Scotland,Scotland,0.17627979483053405,0.3200241375842301,0.035678366690133766,,0.017223172080860907,0.4507945288142412,,,,,,,,39772
5,E14000530,ALDERSHOT,South East,England,0.5837436368188267,0.23537511474589,0.14437119252274055,,0.03651005591254277,,,,,,,,,47932
6,E14000531,ALDRIDGE-BROWNHILLS,West Midlands,England,0.7078948706217274,0.20370087946723603,0.060266381983630726,,0.01959737684916883,,,,,,,,0.008540491078237,39342
7,E14000532,ALTRINCHAM AND SALE WEST,North West,England,0.48045213008783305,0.3683508938516882,0.11022040428756642,,0.028595949820134033,,,,,,,,0.012380621952778335,54763
8,W07000043,ALYN AND DEESIDE,Wales,Wales,0.41987537202380953,0.42482793898809523,0.059244791666666664,0.062267485119047616,,,0.03378441220238095,,,,,,,43008
9,E14000533,AMBER VALLEY,East Midlands,England,0.6385322711611473,0.26795707419843307,0.0630500142647091,,0.03046064037571049,,,,,,,,,45567
10,S14000004,ANGUS,Scotland,Scotland,0.403544127866574,0.04750984479962937,0.05749362983553394,,,0.4914523974982627,,,,,,,,43170
11,W07000057,ARFON,Wales,Wales,0.15230102497076425,0.35609135309898876,,0.03986379583132696,,,0.45174382609892,,,,,,,29074
12,S14000005,ARGYLL AND BUTE,Scotland,Scotland,0.35234131113423517,0.06759625390218522,0.14218522372528616,,,0.43787721123829343,,,,,,,,48050
13,E14000534,ARUNDEL AND SOUTH DOWNS,South East,England,0.5791753517457009,0.15831813444502346,0.21243160500260552,,0.04102071391349661,,,,,,,,0.009054194893173528,61408
14,E14000535,ASHFIELD,East Midlands,England,0.3926296447529604,0.2444058799510004,0.022560228664761126,0.05106165781951817,0.013760718660677828,,,,,,,,0.2755818701510821,48980
15,E14000536,ASHFORD,South East,England,0.6205564528213923,0.22046654123445278,0.10070097737225062,,0.04392347524933815,,,,,,,,0.014352553322566143,60059
16,E14000537,ASHTON-UNDER-LYNE,North West,England,0.3701754840716452,0.4806760154488193,0.03615956867725965,0.08167655978641229,0.03131237201586355,,,,,,,,,38579
17,E14000538,AYLESBURY,South East,England,0.5404285525620708,0.25363180137348124,0.1664190438457475,,0.039520602218700476,,,,,,,,,60576
18,S14000006,"AYR, CARRICK AND CUMNOCK",Scotland,Scotland,0.3851090315934066,0.13347785027472528,0.04631696428571429,,,0.43509615384615385,,,,,,,,46592
19,E14000539,BANBURY,South East,England,0.5427122900144625,0.2755042036839847,0.14035059836938382,,0.04143290793216891,,,,,,,,,62921
20,S14000007,BANFF AND BUCHAN,Scotland,Scotland,0.5012304779933744,0.04103170847136772,0.05395172740179839,,,0.4037860861334595,,,,,,,,42260
21,E14000540,BARKING,London,England,0.26499471898244903,0.6116766668913908,0.033304119193689745,0.07159711454189982,0.018427380390570576,,,,,,,,,44499
22,E14000541,BARNSLEY CENTRAL,Yorkshire and The Humber,England,0.21385795192802753,0.40115979730645207,0.03186732785952361,0.3043925968078476,0.02438826111698236,,,,,,,,0.02433406498116684,36903
23,E14000542,BARNSLEY EAST,Yorkshire and The Humber,England,0.27257683215130024,0.37638560546361965,0.03493564486472288,0.29188337273443654,0.024218544785920674,,,,,,,,,38070
24,E14000543,BARROW AND FURNESS,North West,England,0.518524953307562,0.3928028493245885,0.04397776136906572,0.029427094644485948,0.015267341354297876,,,,,,,,,46046
25,E14000544,BASILDON AND BILLERICAY,East,England,0.6705493110949964,0.20798585931834662,0.08477610587382162,,0.03161258158085569,,,,,,,,0.005076142131979695,44128
26,E14000545,BASINGSTOKE,South East,England,0.5408769396669896,0.28137736918099904,0.12503426973479795,,0.039076636265604155,,,,,,,,0.013634785151609307,54713
27,E14000546,BASSETLAW,East Midlands,England,0.5522708050589091,0.2766468008103696,0.06553765661572353,0.10554473751499774,,,,,,,,,,50841
28,E14000547,BATH,South West,England,0.3087383482296981,0.12733514902758064,0.5450726917027887,0.012313475775825693,,,,,,,,,0.006540335264106793,52138
29,E14000548,BATLEY AND SPEN,Yorkshire and The Humber,England,0.3602886995295407,0.42688986717554367,0.046516900636726054,0.03170404519432426,0.013074612201711792,,,,,,,,0.12152587526215353,52927
30,E14000549,BATTERSEA,London,England,0.36050486019640865,0.4550077529719726,0.15255848075095454,0.006435800390149557,0.025493105690514696,,,,,,,,,59977
31,E14000550,BEACONSFIELD,South East,England,0.5612255477984378,0.099467754199212,,,0.03513167899357158,,,,,,,,0.3041750190087786,57868
32,E14000551,BECKENHAM,London,England,0.5396498862624864,0.2576204134111364,0.16208090198793393,,0.04064879833844328,,,,,,,,,50555
33,E14000552,BEDFORD,East,England,0.43013889769772307,0.433204372000592,0.09741865922496352,0.018942517071520688,0.020295554005200736,,,,,,,,,47301
34,N06000001,BELFAST EAST,Northern Ireland,Northern Ireland,,,,,,,,0.4917893744846272,,,0.059276711037813644,0.4489339144775592,,42445
35,N06000002,BELFAST NORTH,Northern Ireland,Northern Ireland,,,,,,,,0.43100108081652627,0.47062422252584785,,,0.09837469665762587,,49037
36,N06000003,BELFAST SOUTH,Northern Ireland,Northern Ireland,,,,,,,,0.24662105085318467,,0.5718660246663287,0.02658810609900321,0.14330968068930564,0.011615137692177733,47352
37,N06000004,BELFAST WEST,Northern Ireland,Northern Ireland,,,,,,,,0.1345985250889588,0.5380331081429529,0.0769686968181115,,0.04852766747460162,0.20187200247537518,38782
38,E14000553,BERMONDSEY AND OLD SOUTHWARK,London,England,0.16511131962808154,0.5412095879894225,0.26609229719355115,0.02758679518894481,,,,,,,,,,58615
39,S14000008,"BERWICKSHIRE, ROXBURGH AND SELKIRK",Scotland,Scotland,0.48445790840326647,0.047284837993452,0.08066458435253829,,,0.38759266925074326,,,,,,,,53146
40,E14000554,BERWICK-UPON-TWEED,North East,England,0.5686907786933909,0.21639079531691563,0.18181386401956826,,0.03310456197012515,,,,,,,,,42109
41,E14000555,BETHNAL GREEN AND BOW,London,England,0.10779036359433308,0.7273868102110234,0.0972887289059146,0.017849476569466,0.042435850863577824,,,,,,,,0.007248769855685083,60562
42,E14000556,BEVERLEY AND HOLDERNESS,Yorkshire and The Humber,England,0.6210078069552875,0.2391020133726794,0.08723992379813977,,0.025736804751410106,,,,,,,,0.026913451122483285,53542
43,E14000557,BEXHILL AND BATTLE,South East,England,0.636115952820131,0.19513309529047435,0.12319564076963431,,0.045555311119760376,,,,,,,,,59093
44,E14000558,BEXLEYHEATH AND CRAYFORD,London,England,0.5978818850298293,0.2948943254867502,0.06518521944226055,,0.03001433658604264,,,,,,,,0.012024233455117236,43246
45,E14000559,BIRKENHEAD,North West,England,0.13087953885043352,0.5903753927567389,0.03827163410427839,0.03517682912424106,0.03319237402253774,,,,,,,,0.17210423114177043,42329
