,id,Constituency,Country/Region,Con Vote,Labour Vote,Liberal Vote,SNP/ PC Vote,Other Vote,Total votes
0,1,ABERAVON,Wales,0.20935377189846263,0.7544467286378262,,,0.03619949946371112,44752
1,2,ABERDARE,Wales,0.11709001782531195,0.7331216577540107,,0.08558934937611408,0.06419897504456328,35904
2,3,ABERDEEN NORTH,Scotland,0.20564780936297963,0.6754620508490478,0.1020264565156206,,0.016863683272352003,42636
3,4,ABERDEEN SOUTH,Scotland,0.42491103202846975,0.46047844998022935,0.11461051799130091,,,50580
4,7,ABERTILLERY,Wales,0.11888771506187745,0.8811122849381225,,,,26504
5,8,ABINGDON,South East,0.463263159652081,0.4081370306682916,0.12859980967962736,,,59899
6,9,ACCRINGTON,North West,0.36077885260985254,0.5304254842961231,0.10879566309402432,,,40213
7,10,ACTON,London,0.4231355589434056,0.5768644410565944,,,,32141
8,11,ALDERSHOT,South East,0.4892420864063423,0.31970727802870047,0.19105063556495722,,,52473
9,12,ALTRINCHAM AND SALE,North West,0.4800683150254241,0.34737802274579827,0.17255366222877772,,,51526
10,13,ANGLESEY,Wales,0.35406344745988316,0.5499519337425127,,0.09598461879760409,,27046
11,16,ANTRIM NORTH,Northern Ireland,0.7812224723500049,,0.2187775276499951,,,40868
12,17,ANTRIM SOUTH,Northern Ireland,0.6430280891799974,0.3569719108200025,,,,63512
13,18,ARGYLL,Scotland,0.43221181147075527,0.30117830777967064,0.2666098807495741,,,28176
14,19,ARMAGH,Northern Ireland,0.720334759313868,,,,0.27966524068613197,48154
15,20,ARUNDEL AND SHOREHAM,South East,0.554699005199411,0.28276680792233944,0.16253418687824964,,,66546
16,21,ASHFIELD,East Midlands,0.26372393771443653,0.7362760622855635,,,,45468
17,22,ASHFORD,South East,0.4999063933352055,0.31004867546569315,0.19004493119910137,,,42732
18,23,ASHTON UNDER LYNE,North West,0.4129712278036274,0.5870287721963726,,,,42124
19,24,AYLESBURY,South East,0.4491092940752405,0.3749881428923754,0.17590256303238413,,,52711
20,25,AYR,Scotland,0.5061278233566292,0.4938721766433708,,,,39492
21,29,BANBURY,South East,0.47532365117960174,0.4029867910889137,0.12168955773148453,,,60868
22,30,BANFF,Scotland,0.4136511486074405,0.24268143931693434,0.3436674120756251,,,19676
23,31,BARKING,London,0.21818809516959636,0.6615265111194223,0.12028539371098133,,,34759
24,32,BARKSTON ASH,Yorkshire and the Humber,0.5633895730049576,0.4366104269950424,,,,50024
25,33,BARNET,London,0.47104459492782486,0.36698344050532067,0.16197196456685445,,,52719
26,34,BARNSLEY,Yorkshire and the Humber,0.24328125,0.75671875,,,,51200
27,35,BARONS COURT,London,0.41118460978274063,0.5164765141400656,0.07233887607719383,,,32956
28,36,BARROW IN FURNESS,North West,0.3968616775386512,0.6031383224613488,,,,38938
29,37,BARRY,Wales,0.5127842993396918,0.48721570066030817,,,,54520
30,38,BASINGSTOKE,South East,0.45850330566887043,0.3941658461105641,0.14733084822056547,,,56872
31,39,BASSETLAW,East Midlands,0.3836628140479272,0.6163371859520729,,,,44818
32,40,BATH,South West,0.43002912211279815,0.4122446257475046,0.1577262521396972,,,44983
33,41,BATLEY AND MORLEY,Yorkshire and the Humber,0.28994800289131906,0.5616154079324737,0.14843658917620725,,,42887
34,42,"BATTERSEA,NORTH",London,0.24858284546045906,0.7212155004181767,,,0.030201654121364184,21522
35,43,"BATTERSEA,SOUTH",London,0.38238715681712426,0.5293547386381262,0.0882581045447495,,,25788
36,44,BEBINGTON,North West,0.4801116538729937,0.5198883461270063,,,,58753
37,45,BECKENHAM,London,0.5152776785076121,0.2675291258666285,0.21719319562575942,,,55964
38,46,BEDFORD,Eastern,0.44455055266579974,0.45223098179453836,0.1032184655396619,,,49216
39,49,BEDWELLTY,Wales,0.13751378329754513,0.8624862167024548,,,,34462
40,50,BELFAST EAST,Northern Ireland,0.5466570775434721,0.4533429224565279,,,,38933
41,51,BELFAST NORTH,Northern Ireland,0.5743731043615703,0.42562689563842965,,,,46818
42,52,BELFAST SOUTH,Northern Ireland,0.653601546521727,0.346398453478273,,,,35693
43,53,BELFAST WEST,Northern Ireland,0.48011784944535624,,,,0.5198821505546438,50573
44,54,BELPER,East Midlands,0.46697879967859574,0.5330212003214043,,,,64716
45,55,BERMONDSEY,London,0.1937363437727604,0.8062636562272396,,,,20595
46,56,BERWICK AND EAST LOTHIAN,Scotland,0.4806089412413033,0.5193910587586967,,,,43551
47,57,BERWICK UPON TWEED,North East,0.47627146906786727,0.33043188260797063,0.19329664832416207,,,29985
48,58,BETHNAL GREEN,London,0.1701561636263129,0.697139303482587,0.13270453289110007,,,28944
49,59,BEXLEY,London,0.4811038558348229,0.4385510524203845,0.08034509174479261,,,54826
50,60,BILLERICAY,Eastern,0.4463249235207221,0.46542438729338964,0.08825068918588827,,,85971
51,61,BILSTON,West Midlands,0.4307060284704309,0.5692939715295692,,,,52335
52,62,BIRKENHEAD,North West,0.3837434750186428,0.6012428535918469,,,0.015013671389510316,40230
53,63,"BIRMINGHAM,ALL SAINTS",West Midlands,0.41492216854535696,0.5850778314546431,,,,27945
54,64,"BIRMINGHAM,ASTON",West Midlands,0.39127879642689234,0.6087212035731077,,,,34032
55,65,"BIRMINGHAM,EDGBASTON",West Midlands,0.5386064567693317,0.32355207946793024,0.13784146376273798,,,35033
56,66,"BIRMINGHAM,HALL GREEN",West Midlands,0.47377124483233807,0.39722094625631604,0.1290078089113459,,,43540
57,67,"BIRMINGHAM,HANDSWORTH",West Midlands,0.4993383190225587,0.4595143569384175,,,0.04114732403902379,32493
58,68,"BIRMINGHAM,LADYWOOD",West Midlands,0.17362215156332803,0.5892289348171701,0.23714891361950186,,,15096
59,69,"BIRMINGHAM,NORTHFIED",West Midlands,0.3969296497632674,0.5866664541121331,,,0.016403896124599467,62729
