,id,Constituency,Country/Region,Country,Con Vote,Liberal Vote,Labour Vote,SNP Vote,PC Vote,DUP Vote,Sinn Fein Vote,SDLP Vote,UUP Vote,Other Vote,Total votes
0,565,ABERAVON,Wales,Wales,0.10178049428647355,0.13752325272389052,0.6004849853840021,,0.11775843741695456,,,,,0.04245283018867924,30104
1,S14000001,ABERDEEN NORTH,Scotland,Scotland,0.09433859256428455,0.23917672107877927,0.42466015177157834,0.22296227548179287,,,,,,0.018862259103564993,36634
2,S14000002,ABERDEEN SOUTH,Scotland,Scotland,0.17140385862905744,0.33454265875399436,0.3669301554503736,0.09898849138655967,,,,,,0.028134835780014897,41621
3,S14000003,AIRDRIE & SHOTTS,Scotland,Scotland,0.0986488931781169,0.1143615417093914,0.5901441582725134,0.16538995114301225,,,,,,0.03145545569696604,33158
4,47,ALDERSHOT,South East,England,0.42732805716540995,0.3165285307741842,0.2055420535510272,,,,,,,0.0506013585093787,48141
5,295,ALDRIDGE-BROWNHILLS,West Midlands,England,0.4738598442714127,0.12291434927697442,0.3346394984326019,,,,,,,0.06858630801901103,39556
6,435,ALTRINCHAM & SALE WEST,North West,England,0.4642067253441661,0.21654254118709096,0.3026404874746107,,,,,,,0.01661024599413225,44310
7,530,ALYN & DEESIDE,Wales,Wales,0.2522256028848321,0.17393509127789047,0.4882521974306964,,0.03718728870858688,,,,,0.04839981969799414,35496
8,324,AMBER VALLEY,East Midlands,England,0.3443269819163976,0.1313540545673229,0.4556350361883058,,,,,,,0.06868392732797367,47391
9,S14000004,ANGUS,Scotland,Scotland,0.29463887796565735,0.17459693275658672,0.17957792633372657,0.33661030279197796,,,,,,0.014575960152051383,38145
10,S14000005,ARGYLL & BUTE,Scotland,Scotland,0.23430827119739606,0.36649045453496154,0.22382788153004454,0.15503589648883861,,,,,,0.020337496248759204,43319
11,110,ARUNDEL & SOUTH DOWNS,South East,England,0.4981283960555444,0.2705373314550211,0.1706983296437915,,,,,,,0.060635942845642984,49690
12,357,ASHFIELD,East Midlands,England,0.24303821550022592,0.13861739316544197,0.4859099664692873,,,,,,,0.13243442486504484,42051
13,76,ASHFORD,South East,England,0.5156428364128858,0.1607429621747122,0.2583534874721873,,,,,,,0.06526071394021477,51685
14,436,ASHTON-UNDER-LYNE,North West,England,0.19636432493845862,0.13817729326155762,0.5737820218032299,,,,,,,0.09167635999675386,36967
15,15,AYLESBURY,South East,England,0.4907500971628449,0.2756898561989895,0.18538670812281383,,,,,,,0.04817333851535173,51460
16,S14000006,"AYR, CARRICK & CUMNOCK",Scotland,Scotland,0.2316640028414136,0.1407609660806251,0.45358284496537027,0.13168176167643403,,,,,,0.042310424436156985,45048
17,93,BANBURY,South East,England,0.469355441299436,0.17925954918251524,0.277268764788557,,,,,,,0.07411624472949171,56209
18,S14000007,BANFF & BUCHAN,Scotland,Scotland,0.19365326741186586,0.133061049011178,0.12027085124677558,0.5117153912295787,,,,,,0.041299441100601894,37216
19,140,BARKING,London,England,0.1698275269703841,0.11719233147804577,0.4750223321651893,,,,,,,0.2379578093863808,29106
20,386,BARNSLEY CENTRAL,Yorkshire and the Humber,England,0.1332517910186965,0.1658570679713437,0.6107985322383366,,,,,,,0.09009260877162327,28615
21,387,BARNSLEY EAST & MEXBOROUGH,Yorkshire and the Humber,England,0.14694483134500091,0.20147762369042574,0.6291709562163145,,,,,,,0.022406588748258946,33026
22,388,BARNSLEY WEST & PENISTONE,Yorkshire and the Humber,England,0.24579398675784217,0.201400195376099,0.5528058178660589,,,,,,,,36852
23,494,BARROW & FURNESS,North West,England,0.3102786835831529,0.16797742032718604,0.4757076699641027,,,,,,,0.04603622612555833,36493
24,30,BASILDON,Eastern,England,0.36109501402378247,0.10368327113418789,0.4339259637004242,,,,,,,0.10129575114160544,43141
25,48,BASINGSTOKE,South East,England,0.4146665835463292,0.20680339962180247,0.31741578870810216,,,,,,,0.061114228123766184,48123
26,358,BASSETLAW,East Midlands,England,0.29770462545238213,0.1359625204501512,0.5663328540974667,,,,,,,,40342
27,214,BATH,South West,England,0.33735491753207086,0.43854175757046865,0.14776594816301597,,,,,,,0.07633737673444455,45836
28,401,BATLEY & SPEN,Yorkshire and the Humber,England,0.3108039175678433,0.14616914915323403,0.45842685166292596,,,,,,,0.08460008161599673,39208
29,141,BATTERSEA,London,England,0.3996686886404054,0.14631294306804063,0.40363955272966456,,,,,,,0.05037881556188945,41049
30,16,BEACONSFIELD,South East,England,0.554327596902787,0.20386921857408727,0.19350688141901984,,,,,,,0.048296303104105875,43523
31,142,BECKENHAM,London,England,0.45304713667184054,0.22183645127032106,0.28147210195245487,,,,,,,0.04364431010538355,48964
32,1,BEDFORD,Eastern,England,0.3368986499334474,0.21541642897889332,0.4173084236546872,,,,,,,0.03037649743297205,42072
33,642,BELFAST EAST,Northern Ireland,Northern Ireland,0.014076740942557816,,,,,0.49145340728487563,0.033375498686387076,0.027375044597969578,0.30083357659498555,0.13288573189322436,30831
34,643,BELFAST NORTH,Northern Ireland,Northern Ireland,,,,,,0.456286836935167,0.2864112639161755,0.16208251473477406,0.07053045186640472,0.024688932547478715,30540
35,644,BELFAST SOUTH,Northern Ireland,Northern Ireland,,,,,,0.2842512801298864,0.08998376420631947,0.322811290121144,0.2267703259647808,0.07618333957786937,32028
36,645,BELFAST WEST,Northern Ireland,Northern Ireland,,,,,,0.10571718048921697,0.7048198002605297,0.14569402228976697,0.022550296714430453,0.02121870024605587,34545
37,S14000008,"BERWICKSHIRE, ROXBURGH & SELKIRK",Scotland,Scotland,0.28844628536176964,0.41845862342469375,0.15876443112717017,0.08559531153608883,,,,,,0.048735348550277606,45388
38,513,BERWICK-UPON-TWEED,North East,England,0.2887226378498199,0.5279024660570796,0.1833748960931006,,,,,,,,36090
39,143,BETHNAL GREEN & BOW,London,England,0.14188651805394598,0.11198218465244165,0.34035494353171086,,,,,,,0.4057763537619015,44007
40,368,BEVERLEY & HOLDERNESS,Yorkshire and the Humber,England,0.40703557627186165,0.19078921158519582,0.35564320146607703,,,,,,,0.046532010676865465,50202
41,22,BEXHILL & BATTLE,South East,England,0.5258786351795705,0.23871546312508007,0.18057394200794294,,,,,,,0.05483195968740658,46834
42,144,BEXLEYHEATH & CRAYFORD,London,England,0.46317519962423676,0.12080789102865194,0.3562940347581024,,,,,,,0.05972287458900893,42580
43,31,BILLERICAY,Eastern,England,0.5216545908551312,0.13244504482377503,0.2922960415899136,,,,,,,0.053604322731180154,48858
44,478,BIRKENHEAD,North West,England,0.16562297559922262,0.18444540416036853,0.6499316202404088,,,,,,,,27786
45,296,"BIRMINGHAM, EDGBASTON",West Midlands,England,0.3751162605298823,0.13778533655762537,0.4375381998883899,,,,,,,0.04956020302410247,37631
46,297,"BIRMINGHAM, ERDINGTON",West Midlands,England,0.2279027279027279,0.15835065835065834,0.5295155295155295,,,,,,,0.08423108423108423,31746
47,298,"BIRMINGHAM, HALL GREEN",West Midlands,England,0.306636553161918,0.19347926801019227,0.4720870975214269,,,,,,,0.02779708130646282,34536
48,299,"BIRMINGHAM, HODGE HILL",West Midlands,England,0.13259668508287292,0.2946475701164796,0.48639898652215224,,,,,,,0.08635675827849526,28417
49,300,"BIRMINGHAM, LADYWOOD",West Midlands,England,0.10572700475245142,0.3146543945136257,0.5192203573362209,,,,,,,0.06039824339770198,33246
50,301,"BIRMINGHAM, NORTHFIELD",West Midlands,England,0.288672076249356,0.13430577022153528,0.4964902112313241,,,,,,,0.08053194229778465,31056
51,302,"BIRMINGHAM, PERRY BARR",West Midlands,England,0.16738197424892703,0.2652463313715916,0.4695073372568168,,,,,,,0.09786435712266454,38911
52,303,"BIRMINGHAM, SELLY OAK",West Midlands,England,0.24856252994729278,0.22977958792525155,0.46061332055582177,,,,,,,0.061044561571633925,41740
53,304,"BIRMINGHAM, SPARKBROOK & SMALL HEATH",West Midlands,England,0.09111855886049434,0.20231985756179305,0.36099183074989527,,,,,,,0.3455697528278173,38192
54,305,"BIRMINGHAM, YARDLEY",West Midlands,England,0.10091400224253338,0.4637287214161938,0.3729400971764466,,,,,,,0.062417179164826204,29431
55,506,BISHOP AUCKLAND,North East,England,0.22912295425933696,0.2365190935795216,0.5000262274443978,,,,,,,0.0343317247167436,38128
56,334,BLABY,East Midlands,England,0.4553130315056289,0.18996517372641128,0.29590183850328017,,,,,,,0.05881995626467968,49388
57,463,BLACKBURN,North West,England,0.2285133357253917,0.2059083841645736,0.4200932902762827,,,,,,,0.14548498983375194,41805
58,464,BLACKPOOL NORTH & FLEETWOOD,North West,England,0.3593901593901594,0.12781242781242783,0.4763224763224763,,,,,,,0.03647493647493647,43290
59,465,BLACKPOOL SOUTH,North West,England,0.2987063794272599,0.14480204475509884,0.5053205362265922,,,,,,,0.05117103959104898,38342
60,541,BLAENAU GWENT,Wales,Wales,0.02314827948143315,0.04286403222603614,0.3229411931576409,,0.023914215199568805,,,,,0.587132279935321,35251
61,517,BLAYDON,North East,England,0.08012188564258828,0.37858807261926103,0.515197295982383,,,,,,,0.026092745755767803,39053
62,514,BLYTH VALLEY,North East,England,0.1392670449780561,0.31118441282531517,0.5495485421966287,,,,,,,,35773
63,111,BOGNOR REGIS & LITTLEHAMPTON,South East,England,0.44624144108768743,0.21908361351755956,0.25427638844577516,,,,,,,0.08039855694897784,40747
