,id,Constituency,Country/Region,Con Vote,Labour Vote,Liberal Vote,SNP/PC Vote,DUP Vote,VUPP Vote,OUP Vote,SDLP Vote,Alliance Vote,Other Vote,Total votes
0,1,ABERAVON,Wales,0.16784829950688873,0.6281983450085713,0.10958498232841633,0.08533152737508201,,,,,,0.00903684578104167,47251
1,2,ABERDARE,Wales,0.07254712295103397,0.6325847690256464,0.055371101409113485,0.21262189223811143,,,,,,0.026875114376094744,38251
2,3,ABERDEEN NORTH,Scotland,0.11272655287700159,0.5087541791307408,0.08138307232095725,0.2971361956713004,,,,,,,45464
3,4,ABERDEEN SOUTH,Scotland,0.3547154596421166,0.3477075493433684,0.09634436679210506,0.20123262422240995,,,,,,,52084
4,7,ABERTILLERY,Wales,0.08609512710321218,0.758795250928691,0.06478986087843251,0.09031976108966422,,,,,,,27458
5,8,ABINGDON,South East,0.46641562308433315,0.311162682079575,0.2224216948360919,,,,,,,,68514
6,9,ACCRINGTON,North West,0.33761404204680684,0.4918187227290758,0.14141213804046013,,,,,,,0.029155097183657278,40336
7,10,ACTON,London,0.4519041407708637,0.4312386506048748,0.1168572086242615,,,,,,,,39099
8,11,ALDERSHOT,South East,0.4514098561997851,0.25478054688432866,0.2747044675298091,,,,,,,0.019105129386077137,58623
9,12,ALDRIDGE BROWNHILL,West Midlands,0.38389916649725553,0.43510876194348447,0.17672291116080505,,,,,,,0.0042691603984549705,49190
10,13,ALTRINCHAM AND SALE,North West,0.42781992556541654,0.30414400229029487,0.2680360721442886,,,,,,,,55888
11,14,ANGLESEY,Wales,0.2379602554156472,0.416154442919377,0.15462194903622367,0.19126335262875216,,,,,,,33514
12,17,ANTRIM NORTH,Northern Ireland,,,,,0.7259249298213175,,,0.1280193642735876,,0.1460557059050949,59491
13,18,ANTRIM SOUTH,Northern Ireland,,,,,,,0.7146594945405113,0.13244558782687502,0.15289491763261367,,68413
14,19,ARGYLL,Scotland,0.366571447551983,0.1362851258885272,,0.4971434265594898,,,,,,,30106
